,short_position,GKDiving,Composure,Finishing,Vision,Strength,Stamina,Jumping,ShotPower,Reactions,Agility,Dribbling,HeadingAccuracy
959,midfield,7.0,77.0,57.0,70.0,68.0,92.0,69.0,76.0,75.0,65.0,68.0,57.0
960,midfield,15.0,77.0,55.0,71.0,78.0,79.0,81.0,73.0,80.0,68.0,69.0,61.0
961,goalkeeper,74.0,57.0,14.0,42.0,69.0,43.0,48.0,25.0,74.0,38.0,20.0,14.0
962,front,7.0,80.0,79.0,55.0,86.0,75.0,74.0,73.0,74.0,54.0,70.0,80.0
963,midfield,13.0,75.0,72.0,75.0,66.0,78.0,87.0,84.0,74.0,76.0,83.0,62.0
964,front,11.0,74.0,76.0,67.0,71.0,74.0,83.0,78.0,77.0,72.0,74.0,83.0
965,midfield,7.0,71.0,66.0,80.0,64.0,73.0,64.0,71.0,78.0,81.0,76.0,60.0
966,midfield,6.0,77.0,75.0,69.0,57.0,73.0,78.0,71.0,74.0,85.0,83.0,56.0
967,midfield,11.0,74.0,75.0,73.0,78.0,85.0,76.0,77.0,82.0,77.0,74.0,75.0
968,front,12.0,75.0,77.0,69.0,72.0,76.0,81.0,74.0,76.0,75.0,75.0,76.0
969,front,16.0,79.0,80.0,71.0,77.0,51.0,71.0,81.0,83.0,60.0,72.0,79.0
970,front,13.0,76.0,75.0,53.0,85.0,72.0,71.0,85.0,73.0,66.0,70.0,84.0
971,midfield,7.0,78.0,57.0,79.0,59.0,68.0,78.0,71.0,77.0,72.0,66.0,70.0
972,back,16.0,65.0,59.0,52.0,73.0,83.0,79.0,80.0,72.0,79.0,62.0,68.0
973,front,7.0,81.0,80.0,66.0,78.0,53.0,77.0,80.0,79.0,58.0,62.0,79.0
974,back,13.0,70.0,51.0,64.0,65.0,74.0,59.0,72.0,70.0,69.0,76.0,55.0
975,back,15.0,59.0,34.0,47.0,88.0,64.0,30.0,41.0,73.0,32.0,44.0,78.0
976,back,14.0,66.0,46.0,68.0,72.0,79.0,70.0,67.0,77.0,67.0,79.0,63.0
977,goalkeeper,78.0,50.0,10.0,50.0,68.0,40.0,70.0,23.0,70.0,67.0,25.0,14.0
978,midfield,7.0,72.0,62.0,76.0,67.0,77.0,65.0,78.0,74.0,77.0,79.0,64.0
979,midfield,14.0,78.0,66.0,76.0,54.0,69.0,53.0,68.0,76.0,85.0,81.0,58.0
980,midfield,9.0,77.0,66.0,80.0,40.0,70.0,57.0,74.0,73.0,85.0,82.0,43.0
981,front,16.0,72.0,80.0,51.0,89.0,68.0,72.0,83.0,73.0,67.0,69.0,76.0
982,midfield,8.0,73.0,57.0,65.0,88.0,76.0,79.0,82.0,75.0,64.0,63.0,73.0
983,midfield,10.0,75.0,72.0,82.0,73.0,80.0,59.0,80.0,75.0,67.0,69.0,56.0
984,back,12.0,71.0,55.0,55.0,82.0,79.0,69.0,76.0,74.0,54.0,72.0,74.0
985,back,11.0,70.0,38.0,60.0,74.0,55.0,74.0,67.0,75.0,58.0,56.0,78.0
986,midfield,8.0,70.0,64.0,80.0,64.0,74.0,58.0,65.0,74.0,77.0,78.0,53.0
987,back,6.0,73.0,25.0,40.0,78.0,65.0,73.0,28.0,64.0,60.0,42.0,77.0
988,goalkeeper,76.0,65.0,12.0,37.0,76.0,43.0,71.0,22.0,75.0,44.0,16.0,15.0
989,midfield,12.0,74.0,45.0,72.0,77.0,87.0,91.0,77.0,76.0,75.0,76.0,58.0
990,back,16.0,76.0,57.0,65.0,63.0,74.0,75.0,76.0,74.0,70.0,75.0,62.0
991,midfield,9.0,81.0,75.0,73.0,76.0,75.0,65.0,80.0,77.0,64.0,71.0,68.0
992,front,11.0,82.0,83.0,73.0,73.0,57.0,72.0,76.0,84.0,67.0,66.0,84.0
993,midfield,11.0,63.0,67.0,75.0,81.0,68.0,69.0,61.0,75.0,60.0,65.0,62.0
994,front,16.0,74.0,77.0,72.0,75.0,73.0,77.0,80.0,70.0,77.0,76.0,78.0
995,midfield,14.0,76.0,70.0,76.0,65.0,77.0,71.0,77.0,78.0,70.0,75.0,53.0
996,midfield,15.0,75.0,72.0,78.0,69.0,65.0,66.0,77.0,73.0,79.0,78.0,65.0
997,midfield,15.0,64.0,64.0,70.0,59.0,79.0,60.0,76.0,73.0,80.0,78.0,51.0
998,midfield,8.0,83.0,70.0,80.0,75.0,79.0,67.0,75.0,75.0,69.0,77.0,57.0
999,back,6.0,67.0,50.0,63.0,68.0,83.0,75.0,82.0,73.0,78.0,70.0,62.0
1000,midfield,5.0,74.0,54.0,78.0,65.0,76.0,68.0,72.0,76.0,75.0,79.0,60.0
1001,front,9.0,78.0,79.0,61.0,78.0,55.0,81.0,83.0,78.0,62.0,66.0,81.0
1002,back,13.0,74.0,25.0,30.0,73.0,61.0,80.0,52.0,73.0,72.0,54.0,74.0
1003,front,7.0,73.0,79.0,63.0,66.0,70.0,70.0,77.0,76.0,88.0,86.0,55.0
1004,midfield,7.0,64.0,70.0,75.0,52.0,66.0,49.0,64.0,76.0,90.0,86.0,38.0
1005,back,12.0,75.0,58.0,56.0,72.0,77.0,70.0,77.0,75.0,70.0,74.0,72.0
1006,back,6.0,74.0,57.0,67.0,71.0,80.0,73.0,76.0,76.0,75.0,74.0,58.0
1007,front,9.0,76.0,78.0,71.0,63.0,69.0,63.0,76.0,71.0,78.0,81.0,75.0
1008,front,15.0,72.0,77.0,73.0,74.0,78.0,70.0,77.0,71.0,79.0,76.0,71.0
1009,midfield,12.0,74.0,55.0,72.0,71.0,69.0,65.0,67.0,71.0,64.0,74.0,63.0
1010,midfield,16.0,74.0,64.0,72.0,36.0,75.0,76.0,74.0,65.0,91.0,80.0,47.0
1011,midfield,13.0,82.0,70.0,72.0,69.0,67.0,77.0,88.0,78.0,75.0,78.0,54.0
1012,front,12.0,82.0,78.0,71.0,85.0,70.0,74.0,78.0,73.0,68.0,73.0,80.0
1013,goalkeeper,78.0,61.0,9.0,27.0,68.0,38.0,72.0,22.0,74.0,32.0,10.0,10.0
1014,midfield,11.0,75.0,48.0,68.0,85.0,77.0,75.0,72.0,66.0,64.0,70.0,70.0
1015,midfield,14.0,75.0,69.0,71.0,88.0,87.0,78.0,85.0,74.0,67.0,82.0,70.0
1016,back,11.0,72.0,42.0,57.0,78.0,72.0,71.0,55.0,75.0,62.0,66.0,74.0
1017,midfield,15.0,68.0,62.0,67.0,68.0,76.0,75.0,78.0,67.0,74.0,74.0,73.0
1018,back,11.0,70.0,44.0,55.0,76.0,69.0,82.0,59.0,71.0,66.0,54.0,73.0
1019,front,6.0,73.0,79.0,69.0,90.0,64.0,42.0,83.0,79.0,33.0,68.0,82.0
1020,back,10.0,83.0,45.0,75.0,68.0,70.0,74.0,54.0,79.0,69.0,67.0,66.0
1021,midfield,7.0,75.0,78.0,76.0,67.0,76.0,69.0,82.0,78.0,74.0,79.0,63.0
1022,front,9.0,82.0,76.0,60.0,78.0,78.0,80.0,73.0,78.0,75.0,80.0,71.0
1023,front,12.0,77.0,72.0,74.0,40.0,71.0,80.0,77.0,77.0,91.0,81.0,55.0
1024,goalkeeper,77.0,62.0,15.0,43.0,61.0,38.0,74.0,14.0,67.0,58.0,14.0,16.0
1025,back,15.0,65.0,35.0,46.0,58.0,85.0,73.0,60.0,74.0,79.0,76.0,53.0
1026,back,12.0,78.0,41.0,34.0,76.0,71.0,75.0,69.0,79.0,56.0,53.0,75.0
1027,front,7.0,82.0,85.0,65.0,54.0,55.0,68.0,84.0,78.0,77.0,74.0,65.0
1028,midfield,16.0,70.0,67.0,82.0,57.0,65.0,77.0,83.0,67.0,68.0,76.0,60.0
1029,midfield,9.0,68.0,71.0,73.0,54.0,61.0,48.0,80.0,71.0,84.0,82.0,58.0
1030,front,13.0,66.0,81.0,64.0,78.0,81.0,89.0,75.0,72.0,77.0,76.0,75.0
1031,goalkeeper,78.0,57.0,14.0,45.0,78.0,32.0,74.0,36.0,76.0,68.0,12.0,19.0
1032,front,11.0,77.0,78.0,72.0,81.0,82.0,71.0,76.0,75.0,76.0,78.0,73.0
1033,back,15.0,68.0,21.0,31.0,81.0,54.0,71.0,40.0,74.0,46.0,45.0,77.0
1034,midfield,9.0,76.0,50.0,78.0,75.0,76.0,72.0,74.0,69.0,68.0,74.0,70.0
1035,back,14.0,69.0,23.0,61.0,83.0,69.0,67.0,49.0,76.0,53.0,58.0,77.0
1036,back,10.0,71.0,30.0,60.0,79.0,69.0,86.0,57.0,69.0,69.0,72.0,69.0
1037,back,9.0,72.0,52.0,51.0,79.0,52.0,90.0,78.0,70.0,61.0,55.0,81.0
1038,back,3.0,78.0,38.0,68.0,69.0,76.0,75.0,68.0,76.0,75.0,75.0,68.0
1039,back,8.0,69.0,39.0,51.0,72.0,72.0,79.0,45.0,76.0,65.0,58.0,76.0
1040,front,14.0,77.0,78.0,64.0,84.0,70.0,76.0,80.0,75.0,65.0,66.0,83.0
1041,front,8.0,78.0,76.0,56.0,72.0,61.0,56.0,85.0,73.0,79.0,72.0,77.0
1042,midfield,12.0,74.0,44.0,74.0,77.0,84.0,79.0,72.0,72.0,68.0,74.0,69.0
1043,back,11.0,66.0,30.0,51.0,86.0,74.0,79.0,71.0,69.0,37.0,33.0,84.0
1044,midfield,10.0,72.0,72.0,70.0,62.0,72.0,52.0,81.0,72.0,78.0,83.0,47.0
1045,midfield,11.0,79.0,71.0,80.0,68.0,59.0,78.0,75.0,74.0,81.0,79.0,65.0
1046,midfield,15.0,73.0,61.0,75.0,65.0,78.0,66.0,72.0,76.0,74.0,78.0,55.0
1047,back,10.0,71.0,32.0,63.0,76.0,74.0,72.0,54.0,74.0,63.0,62.0,77.0
1048,back,14.0,72.0,37.0,52.0,75.0,82.0,75.0,74.0,77.0,65.0,63.0,68.0
1049,midfield,11.0,74.0,60.0,68.0,72.0,89.0,76.0,68.0,74.0,74.0,81.0,62.0
1050,back,10.0,73.0,41.0,65.0,80.0,68.0,80.0,69.0,76.0,68.0,62.0,76.0
1051,midfield,16.0,84.0,62.0,82.0,67.0,88.0,68.0,80.0,77.0,70.0,72.0,68.0
1052,front,14.0,74.0,78.0,42.0,85.0,66.0,83.0,78.0,72.0,54.0,68.0,90.0
1053,goalkeeper,73.0,64.0,14.0,65.0,59.0,38.0,75.0,12.0,75.0,68.0,24.0,11.0
1054,midfield,13.0,76.0,68.0,75.0,68.0,70.0,58.0,78.0,72.0,78.0,83.0,50.0
1055,midfield,15.0,79.0,73.0,75.0,79.0,85.0,61.0,79.0,76.0,50.0,69.0,78.0
1056,front,15.0,81.0,83.0,70.0,77.0,55.0,84.0,78.0,84.0,52.0,65.0,85.0
1057,midfield,9.0,80.0,56.0,75.0,64.0,85.0,56.0,76.0,75.0,75.0,73.0,51.0
1058,goalkeeper,78.0,61.0,17.0,50.0,63.0,35.0,68.0,20.0,69.0,35.0,17.0,16.0
1059,goalkeeper,78.0,57.0,16.0,42.0,52.0,31.0,75.0,17.0,69.0,66.0,17.0,17.0
1060,midfield,12.0,73.0,56.0,76.0,83.0,79.0,65.0,69.0,73.0,67.0,73.0,65.0
1061,back,12.0,73.0,43.0,50.0,86.0,72.0,68.0,74.0,70.0,55.0,69.0,68.0
1062,front,13.0,74.0,80.0,58.0,88.0,69.0,82.0,82.0,74.0,62.0,68.0,77.0
1063,front,15.0,72.0,75.0,69.0,76.0,65.0,73.0,79.0,76.0,72.0,76.0,73.0
1064,midfield,12.0,72.0,65.0,71.0,83.0,87.0,70.0,79.0,72.0,62.0,74.0,78.0
1065,midfield,16.0,66.0,78.0,74.0,67.0,65.0,75.0,81.0,78.0,77.0,80.0,54.0
1066,front,12.0,63.0,80.0,58.0,77.0,74.0,70.0,79.0,77.0,65.0,68.0,78.0
1067,back,8.0,72.0,37.0,69.0,64.0,77.0,68.0,60.0,75.0,78.0,79.0,53.0
1068,midfield,7.0,79.0,67.0,71.0,66.0,76.0,75.0,80.0,74.0,72.0,75.0,63.0
1069,back,9.0,70.0,33.0,45.0,67.0,77.0,64.0,43.0,77.0,78.0,75.0,55.0
1070,front,10.0,72.0,80.0,56.0,74.0,72.0,75.0,74.0,74.0,69.0,74.0,76.0
1071,goalkeeper,76.0,64.0,17.0,45.0,62.0,34.0,84.0,20.0,79.0,60.0,11.0,12.0
1072,midfield,8.0,79.0,77.0,76.0,78.0,79.0,78.0,82.0,70.0,80.0,78.0,67.0
1073,back,10.0,74.0,16.0,18.0,88.0,73.0,78.0,60.0,73.0,34.0,48.0,76.0
1074,front,7.0,70.0,72.0,61.0,90.0,54.0,75.0,84.0,78.0,61.0,72.0,75.0
1075,goalkeeper,79.0,54.0,12.0,55.0,54.0,41.0,81.0,26.0,73.0,70.0,17.0,13.0
1076,back,11.0,70.0,39.0,49.0,84.0,61.0,75.0,56.0,68.0,47.0,40.0,78.0
1077,midfield,11.0,72.0,66.0,74.0,75.0,79.0,68.0,80.0,72.0,74.0,78.0,68.0
1078,back,32.0,76.0,30.0,39.0,77.0,50.0,81.0,69.0,72.0,45.0,49.0,77.0
1079,midfield,14.0,75.0,65.0,70.0,90.0,87.0,90.0,85.0,79.0,72.0,75.0,75.0
1080,back,12.0,74.0,70.0,77.0,64.0,74.0,73.0,78.0,74.0,74.0,78.0,59.0
1081,midfield,11.0,71.0,78.0,76.0,60.0,68.0,52.0,68.0,72.0,83.0,79.0,67.0
1082,back,13.0,67.0,46.0,44.0,81.0,64.0,72.0,70.0,77.0,54.0,43.0,79.0
1083,back,11.0,69.0,57.0,65.0,62.0,86.0,72.0,76.0,76.0,74.0,75.0,65.0
1084,back,13.0,74.0,54.0,50.0,94.0,66.0,72.0,66.0,68.0,33.0,35.0,85.0
1085,midfield,11.0,78.0,63.0,79.0,80.0,75.0,59.0,64.0,64.0,73.0,82.0,58.0
1086,back,6.0,76.0,20.0,34.0,92.0,63.0,83.0,61.0,70.0,54.0,52.0,72.0
1087,midfield,7.0,86.0,44.0,63.0,77.0,87.0,79.0,70.0,76.0,77.0,70.0,50.0
1088,front,15.0,76.0,78.0,68.0,88.0,64.0,81.0,82.0,77.0,67.0,66.0,84.0
1089,midfield,7.0,77.0,46.0,75.0,66.0,86.0,74.0,56.0,77.0,77.0,75.0,52.0
1090,front,15.0,77.0,79.0,74.0,75.0,69.0,81.0,71.0,74.0,72.0,70.0,79.0
1091,front,8.0,74.0,78.0,58.0,69.0,69.0,76.0,72.0,76.0,81.0,76.0,72.0
1092,front,17.0,82.0,76.0,77.0,61.0,65.0,76.0,70.0,76.0,79.0,82.0,74.0
1093,midfield,12.0,68.0,75.0,74.0,68.0,86.0,53.0,70.0,73.0,68.0,78.0,60.0
1094,front,11.0,71.0,84.0,71.0,79.0,78.0,77.0,78.0,72.0,68.0,65.0,78.0
1095,front,6.0,82.0,79.0,74.0,84.0,81.0,68.0,80.0,75.0,65.0,74.0,74.0
1096,back,14.0,70.0,49.0,46.0,80.0,76.0,78.0,40.0,67.0,50.0,36.0,73.0
1097,midfield,8.0,76.0,54.0,68.0,84.0,76.0,74.0,76.0,78.0,78.0,80.0,62.0
1098,front,14.0,62.0,83.0,65.0,66.0,66.0,67.0,78.0,71.0,79.0,80.0,58.0
1099,back,15.0,73.0,36.0,45.0,82.0,75.0,83.0,45.0,70.0,46.0,50.0,85.0
1100,goalkeeper,78.0,56.0,10.0,54.0,72.0,44.0,74.0,22.0,79.0,44.0,14.0,14.0
1101,back,10.0,71.0,30.0,56.0,80.0,71.0,89.0,59.0,72.0,58.0,45.0,80.0
1102,midfield,7.0,78.0,75.0,77.0,75.0,82.0,70.0,77.0,76.0,70.0,74.0,59.0
1103,front,14.0,80.0,80.0,70.0,91.0,75.0,72.0,80.0,67.0,61.0,70.0,78.0
1104,midfield,10.0,75.0,70.0,80.0,60.0,74.0,67.0,64.0,78.0,76.0,77.0,56.0
1105,midfield,7.0,78.0,67.0,84.0,59.0,74.0,51.0,60.0,77.0,71.0,78.0,58.0
1106,midfield,9.0,69.0,68.0,75.0,40.0,67.0,34.0,71.0,68.0,89.0,86.0,35.0
1107,back,9.0,68.0,37.0,56.0,70.0,74.0,78.0,65.0,76.0,69.0,63.0,76.0
1108,back,12.0,71.0,71.0,55.0,79.0,85.0,80.0,72.0,67.0,66.0,63.0,80.0
1109,midfield,7.0,76.0,68.0,76.0,62.0,91.0,53.0,77.0,68.0,69.0,74.0,52.0
1110,back,6.0,68.0,39.0,56.0,88.0,61.0,86.0,44.0,67.0,61.0,59.0,71.0
1111,back,16.0,59.0,55.0,70.0,71.0,88.0,71.0,83.0,73.0,74.0,75.0,64.0
1112,goalkeeper,76.0,62.0,14.0,46.0,80.0,42.0,57.0,25.0,67.0,43.0,15.0,13.0
1113,midfield,12.0,80.0,78.0,76.0,49.0,71.0,50.0,85.0,77.0,76.0,79.0,52.0
1114,back,11.0,73.0,45.0,41.0,94.0,82.0,68.0,76.0,69.0,51.0,61.0,81.0
1115,back,9.0,68.0,64.0,66.0,68.0,77.0,63.0,75.0,79.0,76.0,79.0,66.0
1116,front,11.0,79.0,81.0,66.0,73.0,72.0,77.0,75.0,77.0,78.0,73.0,83.0
1117,back,11.0,74.0,24.0,42.0,71.0,42.0,76.0,72.0,73.0,46.0,46.0,72.0
1118,midfield,10.0,74.0,73.0,74.0,69.0,84.0,89.0,75.0,77.0,86.0,78.0,75.0
1119,front,12.0,83.0,78.0,68.0,86.0,63.0,76.0,83.0,74.0,47.0,69.0,81.0
1120,goalkeeper,75.0,55.0,12.0,51.0,62.0,22.0,56.0,29.0,73.0,50.0,21.0,12.0
1121,midfield,14.0,65.0,65.0,77.0,56.0,64.0,69.0,74.0,77.0,83.0,79.0,54.0
1122,midfield,15.0,65.0,39.0,64.0,80.0,79.0,81.0,65.0,75.0,68.0,73.0,70.0
1123,midfield,13.0,74.0,74.0,75.0,66.0,80.0,56.0,77.0,70.0,82.0,79.0,49.0
1124,front,12.0,75.0,75.0,68.0,95.0,74.0,66.0,81.0,71.0,50.0,76.0,73.0
1125,front,13.0,71.0,77.0,58.0,90.0,62.0,64.0,83.0,72.0,54.0,69.0,74.0
1126,midfield,13.0,77.0,64.0,72.0,74.0,74.0,66.0,77.0,76.0,77.0,83.0,48.0
1127,midfield,15.0,68.0,70.0,74.0,42.0,72.0,60.0,60.0,72.0,94.0,81.0,30.0
1128,back,12.0,67.0,42.0,56.0,66.0,74.0,69.0,69.0,77.0,72.0,68.0,75.0
1129,midfield,8.0,80.0,54.0,80.0,63.0,78.0,51.0,63.0,76.0,73.0,77.0,50.0
1130,back,8.0,71.0,44.0,68.0,82.0,90.0,78.0,66.0,69.0,78.0,71.0,65.0
1131,back,14.0,65.0,48.0,65.0,83.0,72.0,85.0,83.0,68.0,62.0,55.0,77.0
1132,midfield,13.0,74.0,67.0,77.0,49.0,76.0,57.0,71.0,74.0,91.0,83.0,53.0
1133,midfield,15.0,68.0,63.0,69.0,71.0,83.0,71.0,69.0,76.0,82.0,80.0,58.0
1134,back,16.0,71.0,34.0,65.0,82.0,66.0,74.0,61.0,71.0,59.0,46.0,77.0
1135,midfield,14.0,76.0,72.0,74.0,64.0,71.0,67.0,81.0,75.0,86.0,78.0,61.0
1136,midfield,8.0,72.0,79.0,79.0,78.0,68.0,69.0,77.0,77.0,72.0,74.0,76.0
1137,front,14.0,68.0,81.0,74.0,57.0,55.0,76.0,74.0,83.0,85.0,80.0,71.0
1138,back,10.0,74.0,55.0,73.0,65.0,89.0,69.0,69.0,73.0,76.0,73.0,56.0
1139,back,13.0,74.0,26.0,44.0,79.0,74.0,82.0,42.0,72.0,65.0,52.0,78.0
1140,goalkeeper,76.0,57.0,12.0,48.0,56.0,34.0,75.0,25.0,71.0,65.0,10.0,19.0
1141,midfield,13.0,77.0,54.0,76.0,67.0,88.0,90.0,76.0,75.0,78.0,77.0,58.0
1142,midfield,9.0,80.0,68.0,75.0,61.0,72.0,70.0,74.0,73.0,74.0,78.0,64.0
1143,midfield,5.0,75.0,70.0,69.0,59.0,79.0,74.0,74.0,70.0,90.0,81.0,50.0
1144,midfield,13.0,79.0,70.0,77.0,67.0,77.0,59.0,86.0,79.0,68.0,77.0,66.0
1145,back,11.0,65.0,35.0,54.0,78.0,71.0,70.0,48.0,72.0,32.0,38.0,81.0
1146,midfield,16.0,77.0,72.0,76.0,66.0,65.0,61.0,74.0,74.0,78.0,81.0,57.0
1147,goalkeeper,78.0,63.0,14.0,32.0,65.0,36.0,72.0,23.0,80.0,63.0,18.0,17.0
1148,back,12.0,74.0,50.0,60.0,77.0,79.0,75.0,75.0,76.0,65.0,73.0,68.0
1149,midfield,8.0,80.0,53.0,73.0,67.0,83.0,74.0,63.0,72.0,68.0,82.0,62.0
1150,back,12.0,65.0,50.0,47.0,79.0,75.0,62.0,75.0,66.0,76.0,78.0,72.0
1151,back,11.0,76.0,52.0,75.0,73.0,79.0,77.0,72.0,78.0,69.0,75.0,73.0
1152,back,10.0,72.0,30.0,40.0,83.0,69.0,73.0,50.0,68.0,46.0,43.0,74.0
1153,midfield,8.0,76.0,61.0,76.0,77.0,81.0,85.0,69.0,76.0,73.0,75.0,74.0
1154,back,8.0,79.0,32.0,55.0,78.0,81.0,70.0,68.0,77.0,63.0,73.0,64.0
1155,front,11.0,77.0,79.0,70.0,82.0,74.0,80.0,77.0,75.0,60.0,73.0,81.0
1156,midfield,11.0,75.0,39.0,78.0,70.0,84.0,58.0,66.0,76.0,78.0,76.0,59.0
1157,back,12.0,75.0,56.0,48.0,77.0,82.0,85.0,78.0,72.0,73.0,66.0,72.0
1158,goalkeeper,78.0,32.0,15.0,55.0,72.0,34.0,65.0,19.0,76.0,50.0,17.0,14.0
1159,midfield,13.0,71.0,76.0,69.0,58.0,71.0,55.0,73.0,72.0,79.0,79.0,49.0
1160,midfield,8.0,67.0,75.0,73.0,34.0,72.0,63.0,80.0,75.0,80.0,79.0,53.0
1161,front,8.0,75.0,78.0,59.0,79.0,71.0,70.0,82.0,68.0,74.0,76.0,72.0
1162,midfield,5.0,75.0,40.0,75.0,81.0,75.0,72.0,84.0,73.0,58.0,67.0,72.0
1163,goalkeeper,82.0,48.0,12.0,56.0,70.0,30.0,74.0,24.0,76.0,59.0,14.0,16.0
1164,midfield,11.0,73.0,70.0,77.0,69.0,71.0,36.0,67.0,73.0,86.0,74.0,44.0
1165,midfield,15.0,71.0,62.0,77.0,30.0,63.0,58.0,69.0,74.0,90.0,79.0,36.0
1166,midfield,8.0,65.0,62.0,74.0,72.0,69.0,69.0,73.0,77.0,64.0,76.0,68.0
1167,back,15.0,73.0,41.0,52.0,90.0,67.0,76.0,75.0,69.0,54.0,57.0,68.0
1168,midfield,7.0,79.0,33.0,77.0,68.0,90.0,73.0,75.0,75.0,74.0,71.0,61.0
1169,midfield,11.0,78.0,66.0,82.0,70.0,63.0,69.0,83.0,78.0,79.0,76.0,58.0
1170,midfield,12.0,68.0,70.0,80.0,43.0,74.0,53.0,72.0,65.0,87.0,80.0,35.0
1171,midfield,14.0,74.0,73.0,79.0,71.0,86.0,63.0,73.0,76.0,85.0,80.0,64.0
1172,midfield,11.0,74.0,63.0,74.0,61.0,82.0,59.0,65.0,74.0,76.0,80.0,40.0
1173,back,13.0,67.0,56.0,74.0,72.0,86.0,80.0,80.0,72.0,75.0,80.0,53.0
1174,back,13.0,68.0,29.0,32.0,88.0,80.0,54.0,65.0,66.0,56.0,48.0,74.0
1175,midfield,12.0,69.0,77.0,76.0,34.0,54.0,66.0,64.0,79.0,79.0,82.0,69.0
1176,midfield,13.0,80.0,58.0,78.0,68.0,69.0,48.0,65.0,78.0,68.0,76.0,61.0
1177,midfield,10.0,77.0,48.0,69.0,77.0,90.0,71.0,70.0,74.0,73.0,71.0,44.0
1178,back,7.0,68.0,37.0,40.0,74.0,75.0,70.0,57.0,75.0,53.0,52.0,80.0
1179,back,12.0,73.0,32.0,55.0,88.0,58.0,80.0,45.0,73.0,58.0,40.0,76.0
1180,back,9.0,64.0,40.0,59.0,78.0,67.0,77.0,69.0,69.0,65.0,63.0,79.0
1181,midfield,6.0,69.0,57.0,69.0,76.0,79.0,82.0,60.0,75.0,66.0,70.0,72.0
1182,midfield,7.0,77.0,69.0,81.0,62.0,65.0,65.0,75.0,79.0,71.0,73.0,62.0
1183,midfield,14.0,76.0,68.0,76.0,78.0,77.0,58.0,81.0,72.0,63.0,78.0,60.0
1184,front,8.0,85.0,75.0,67.0,74.0,86.0,78.0,77.0,83.0,76.0,70.0,76.0
1185,front,13.0,66.0,80.0,71.0,68.0,48.0,74.0,78.0,77.0,73.0,82.0,71.0
1186,back,9.0,68.0,40.0,45.0,77.0,66.0,73.0,68.0,73.0,58.0,59.0,72.0
1187,midfield,8.0,74.0,44.0,53.0,73.0,78.0,74.0,66.0,74.0,72.0,69.0,64.0
1188,back,15.0,66.0,60.0,70.0,70.0,86.0,69.0,76.0,79.0,68.0,77.0,71.0
1189,front,8.0,76.0,80.0,72.0,76.0,84.0,78.0,74.0,78.0,79.0,75.0,77.0
1190,front,11.0,77.0,77.0,73.0,70.0,62.0,69.0,72.0,74.0,83.0,82.0,74.0
1191,back,8.0,71.0,67.0,70.0,68.0,70.0,82.0,84.0,80.0,77.0,81.0,58.0
1192,midfield,13.0,73.0,72.0,65.0,62.0,95.0,62.0,68.0,76.0,78.0,80.0,44.0
1193,back,7.0,76.0,32.0,52.0,93.0,58.0,62.0,52.0,71.0,55.0,48.0,75.0
1194,back,10.0,63.0,59.0,58.0,61.0,81.0,86.0,80.0,72.0,84.0,76.0,61.0
1195,midfield,16.0,74.0,64.0,79.0,44.0,73.0,35.0,79.0,75.0,89.0,79.0,41.0
1196,back,13.0,80.0,63.0,79.0,64.0,79.0,67.0,58.0,78.0,85.0,85.0,65.0
1197,midfield,10.0,74.0,56.0,71.0,73.0,84.0,76.0,79.0,72.0,66.0,67.0,58.0
1198,back,13.0,68.0,37.0,55.0,72.0,70.0,69.0,51.0,73.0,62.0,65.0,73.0
1199,goalkeeper,74.0,62.0,13.0,44.0,81.0,23.0,53.0,19.0,68.0,41.0,15.0,20.0
1200,midfield,10.0,71.0,74.0,77.0,72.0,61.0,44.0,65.0,81.0,71.0,78.0,65.0
1201,midfield,11.0,69.0,78.0,69.0,46.0,70.0,75.0,70.0,81.0,78.0,78.0,74.0
1202,back,6.0,73.0,48.0,65.0,67.0,80.0,71.0,67.0,77.0,76.0,71.0,68.0
1203,back,12.0,71.0,26.0,44.0,78.0,65.0,76.0,27.0,71.0,48.0,39.0,77.0
1204,goalkeeper,81.0,58.0,12.0,42.0,73.0,31.0,58.0,25.0,71.0,26.0,11.0,15.0
1205,midfield,11.0,68.0,72.0,80.0,73.0,64.0,62.0,63.0,74.0,57.0,70.0,51.0
1206,front,13.0,79.0,80.0,45.0,68.0,74.0,84.0,76.0,78.0,76.0,65.0,80.0
1207,back,10.0,67.0,35.0,48.0,76.0,86.0,75.0,61.0,67.0,77.0,64.0,70.0
1208,midfield,10.0,65.0,78.0,70.0,54.0,71.0,89.0,76.0,78.0,79.0,76.0,69.0
1209,midfield,7.0,65.0,73.0,73.0,43.0,64.0,59.0,76.0,65.0,79.0,80.0,55.0
1210,midfield,7.0,79.0,72.0,76.0,41.0,53.0,61.0,78.0,70.0,88.0,81.0,45.0
1211,midfield,14.0,67.0,68.0,72.0,78.0,68.0,54.0,77.0,66.0,78.0,79.0,54.0
1212,goalkeeper,74.0,56.0,15.0,44.0,65.0,44.0,65.0,24.0,73.0,57.0,14.0,13.0
1213,goalkeeper,74.0,56.0,12.0,53.0,67.0,25.0,51.0,22.0,72.0,32.0,15.0,17.0
1214,midfield,9.0,74.0,62.0,75.0,80.0,72.0,58.0,80.0,76.0,54.0,72.0,68.0
1215,front,10.0,77.0,77.0,65.0,91.0,33.0,74.0,83.0,73.0,42.0,70.0,81.0
